simulation_id,tick,day,event_id,strength,reality,disinformers,converted_disinformers,interactions,ingroup_interactions,outgroup_interactions,new_conversions,trust_change,trust_delta_mean,trust_delta_min,trust_delta_max,effectiveness_score,interaction_efficiency
experiment_001,3,4,13,0.76,0.25,243,0,2412,1820,592,0,-0.0005308725343790011,-0.0005308725343788302,-0.06313006156877873,0.0,0.0,2.2009640728814307e-07
experiment_001,3,4,14,0.45,0.19,337,0,3308,2504,804,0,-0.00039175337824248757,-0.0003917533782425008,-0.034019887406130565,0.0,0.0,1.184260514638717e-07
experiment_001,4,5,0,0.69,0.47,275,0,2818,2136,682,0,-0.0005975523877264077,-0.0005979254699195143,-0.08865410965653264,0.0,0.0,2.1204839876735548e-07
experiment_001,4,5,1,0.6,0.36,289,0,2960,2239,721,0,-0.0005158966582280433,-0.0005158966582280074,-0.06505557718428712,0.0,0.0,1.7428941156352815e-07
experiment_001,4,5,2,0.87,0.34,111,0,1129,853,276,0,-0.0002974169059047904,-0.00029741690590499143,-0.06833038217835763,0.0,0.0,2.634339290565017e-07
experiment_001,4,5,3,0.48,0.32,105,0,1051,794,257,0,-0.00014518600117274794,-0.00014518600117273831,-0.04182064376683406,0.0,0.0,1.38140819384156e-07
experiment_001,4,5,4,0.57,0.28,299,0,2734,2050,684,0,-0.00042315999968767226,-0.00042315999968754595,-0.050949277411155666,0.0,0.0,1.5477688357266726e-07
experiment_001,4,5,5,0.78,0.4,198,0,1830,1371,459,0,-0.00039874273052953324,-0.0003989157759062364,-0.07865226883208246,0.0,0.0,2.1789220247515477e-07
experiment_001,4,5,6,0.71,0.5,267,0,2741,2070,671,0,-0.0005856283019540776,-0.0005856283019540368,-0.05890776789484584,0.0,0.0,2.1365498064723735e-07
experiment_001,4,5,7,0.66,0.22,320,0,3151,2377,774,0,-0.0006055887071647614,-0.0006055887071647868,-0.06494138955527128,0.0,0.0,1.921893707282645e-07
experiment_001,4,5,8,0.59,0.35,190,0,1937,1470,467,0,-0.0003452537143963097,-0.00034525371439634667,-0.04922039838816766,0.0,0.0,1.7824146329184806e-07
experiment_001,4,5,9,0.74,0.44,308,0,3046,2307,739,0,-0.000634473668620017,-0.0006345464720750714,-0.07364017275285754,0.0,0.0,2.0829733047275673e-07
experiment_001,4,5,10,0.61,0.29,263,0,2726,2067,659,0,-0.00047007573510171596,-0.0004700757351016862,-0.055176893381665364,0.0,0.0,1.7244157560591194e-07
experiment_001,4,5,11,0.5,0.42,173,0,1660,1249,411,0,-0.00021792119810026822,-0.00021792119810026939,-0.05042457318272969,0.0,0.0,1.3127783018088448e-07
experiment_001,4,5,12,0.68,0.38,252,0,2420,1825,595,0,-0.00044233044991859316,-0.00044233044991855267,-0.05085286150056343,0.0,0.0,1.8278117765231122e-07
experiment_001,4,5,13,0.76,0.25,243,0,2279,1710,569,0,-0.0005451414381355546,-0.0005451414381356358,-0.06325843164105172,0.0,0.0,2.392020351625953e-07
experiment_001,4,5,14,0.45,0.19,337,0,3350,2524,826,0,-0.0003949729496947052,-0.00039497294969463814,-0.04028055549266518,0.0,0.0,1.1790237304319558e-07
experiment_001,5,6,0,0.69,0.47,275,0,2714,2053,661,1,-0.0005263908685576579,-0.0005263908685577498,-0.06135038486151932,0.0,0.00036845983787767134,1.9395389408904125e-07
experiment_001,5,6,1,0.6,0.36,289,1,2867,2171,696,0,-0.0004767045474709519,-0.0004767045474708684,-0.04613066668735549,0.0,0.0,1.6627294993754863e-07
experiment_001,5,6,2,0.87,0.34,111,1,1040,782,258,0,-0.0002821615536354738,-0.0002821615536354593,-0.04848960316545878,0.0,0.0,2.713091861879556e-07
experiment_001,5,6,3,0.48,0.32,105,1,1035,785,250,0,-0.0001317224100532144,-0.0001317224100532009,-0.02821832720981464,0.0,0.0,1.272680290369221e-07
experiment_001,5,6,4,0.57,0.28,299,1,3024,2292,732,0,-0.0004978783361543337,-0.0004978783361543871,-0.05602409704845723,0.0,0.0,1.6464230692934316e-07
experiment_001,5,6,5,0.78,0.4,198,1,1930,1456,474,0,-0.0005042392061200829,-0.0005042392061201047,-0.054140086020204745,0.0,0.0,2.612638373679186e-07
experiment_001,5,6,6,0.71,0.5,267,1,2675,2024,651,0,-0.0005408151318310184,-0.0005408151318309809,-0.06854267493294144,0.0,0.0,2.0217388105832464e-07
experiment_001,5,6,7,0.66,0.22,320,1,3082,2318,764,0,-0.000599096337934979,-0.0005990963379349498,-0.06361853653498835,0.0,0.0,1.9438557363237475e-07
experiment_001,5,6,8,0.59,0.35,190,1,2042,1552,490,0,-0.00037416768015208213,-0.00037416768015210473,-0.05238851905369574,0.0,0.0,1.8323588646037323e-07
experiment_001,5,6,9,0.74,0.44,308,1,2906,2190,716,0,-0.0006165927262369308,-0.000616592726237064,-0.05532955515576752,0.0,0.0,2.1217919003335543e-07
experiment_001,5,6,10,0.61,0.29,263,1,2639,1988,651,0,-0.00048273305832657876,-0.00048273305832641043,-0.05421945555559915,0.0,0.0,1.8292272009343644e-07
experiment_001,5,6,11,0.5,0.42,173,1,1700,1286,414,1,-0.00024516769900762014,-0.0002451676990076202,-0.033853635852798686,0.0,0.000588235294117647,1.4421629353389421e-07
experiment_001,5,6,12,0.68,0.38,252,2,2703,2055,648,0,-0.0005496064958344649,-0.0005496064958345885,-0.05789329555142591,0.0,0.0,2.033320369346892e-07
experiment_001,5,6,13,0.76,0.25,243,2,2491,1892,599,3,-0.0005423465900075142,-0.0005423465900074717,-0.06731768461939765,0.0,0.0012043356081894822,2.177224367753971e-07
experiment_001,5,6,14,0.45,0.19,337,5,3296,2485,811,0,-0.00037479793507466663,-0.0003747979350746121,-0.03865734616931813,0.0,0.0,1.1371296573867313e-07
experiment_001,6,7,0,0.69,0.47,275,5,2912,2205,707,0,-0.0006216473373594766,-0.0006216473373595768,-0.0535840997468202,0.0,0.0,2.134777944228972e-07
experiment_001,6,7,1,0.6,0.36,289,5,2853,2155,698,0,-0.0005344962991977731,-0.000534958129166148,-0.06235926513128063,0.0,0.0,1.8734535548467334e-07
experiment_001,6,7,2,0.87,0.34,111,5,1200,914,286,0,-0.00034130574590973684,-0.00034130574590994397,-0.05037853993730773,0.0,0.0,2.844214549247807e-07
experiment_001,6,7,3,0.48,0.32,105,5,1162,884,278,0,-0.00016439227311204618,-0.0001643922731118421,-0.029247164611418977,0.0,0.0,1.4147355689504835e-07
experiment_001,6,7,4,0.57,0.28,299,5,3094,2349,745,0,-0.0005345745495228815,-0.0005345745495229703,-0.060446521202702067,0.0,0.0,1.7277781173978073e-07
experiment_001,6,7,5,0.78,0.4,198,5,1932,1457,475,0,-0.0004946831201189106,-0.0004947772978316118,-0.07334262463951827,0.0,0.0,2.5604716362262454e-07
experiment_001,6,7,6,0.71,0.5,267,5,2508,1881,627,0,-0.0005656666853063319,-0.0005656666853062508,-0.06270434359992663,0.0,0.0,2.255449303454274e-07
experiment_001,6,7,7,0.66,0.22,320,5,2926,2193,733,1,-0.0005397988108150065,-0.0005397988108151043,-0.060432133601628885,0.0,0.0003417634996582365,1.8448353069549093e-07
experiment_001,6,7,8,0.59,0.35,190,6,1868,1412,456,1,-0.0003099593836700665,-0.00030995938367005396,-0.04976479407754874,0.0,0.0005353319057815846,1.6593114757498207e-07
experiment_001,6,7,9,0.74,0.44,308,7,3114,2354,760,0,-0.00071866207464788,-0.0007188361472123515,-0.07624951530732027,0.0,0.0,2.3078422435705846e-07
experiment_001,6,7,10,0.61,0.29,263,7,2505,1887,618,0,-0.00044841398138795174,-0.0004484139813878976,-0.055931714283275,0.0,0.0,1.7900757740037994e-07
experiment_001,6,7,11,0.5,0.42,173,7,1679,1267,412,0,-0.00022208729120509751,-0.0002220872912050598,-0.036145767218436695,0.0,0.0,1.322735504497305e-07
experiment_001,6,7,12,0.68,0.38,252,7,2324,1747,577,2,-0.00044491643071620235,-0.0004449164307162187,-0.04430886379993252,0.0,0.0008605851979345956,1.9144424729612838e-07
experiment_001,6,7,13,0.76,0.25,243,9,2382,1802,580,2,-0.000558041311514712,-0.0005582954942549713,-0.060833519959541324,0.0,0.0008396305625524769,2.3427427015730984e-07
experiment_001,6,7,14,0.45,0.19,337,11,3359,2531,828,0,-0.00040710063594995294,-0.0004071006359499615,-0.036142490606675556,0.0,0.0,1.2119697408453496e-07
experiment_001,7,8,0,0.69,0.47,275,12,2841,2149,692,1,-0.0006205818773098448,-0.0006215461048876291,-0.06499631737998464,0.0,0.00035198873636043646,2.184378308024797e-07
experiment_001,7,8,1,0.6,0.36,289,12,2917,2200,717,1,-0.0005296417979346879,-0.0005296417979346568,-0.04089432533231259,0.0,0.00034281796366129587,1.8157072263787725e-07
experiment_001,7,8,2,0.87,0.34,111,13,1053,793,260,1,-0.00027335204635481336,-0.00027335204635482155,-0.06646548286698245,0.0,0.000949667616334283,2.5959358628187403e-07
experiment_001,7,8,3,0.48,0.32,105,14,976,735,241,0,-0.0001427639467403985,-0.00014276394674045664,-0.027049118364250405,0.0,0.0,1.4627453559467058e-07
experiment_001,7,8,4,0.57,0.28,299,14,2964,2238,726,0,-0.0004823789604921913,-0.0004832004354625758,-0.05849314355059584,0.0,0.0,1.6274593808778385e-07
experiment_001,7,8,5,0.78,0.4,198,14,1891,1428,463,0,-0.0004430598378021289,-0.00044305983780206334,-0.058734721548178215,0.0,0.0,2.3429922675945472e-07
experiment_001,7,8,6,0.71,0.5,267,14,2586,1946,640,0,-0.0005397892529884762,-0.0005397892529886213,-0.0642028138364692,0.0,0.0,2.0873520997234193e-07
experiment_001,7,8,7,0.66,0.22,320,14,3059,2306,753,0,-0.0005752520920118132,-0.0005756001050116925,-0.05409644959361418,0.0,0.0,1.8805233475378004e-07
experiment_001,7,8,8,0.59,0.35,190,14,1903,1439,464,1,-0.00032396315566429745,-0.0003239631556642571,-0.05454839089508236,0.0,0.0005254860746190226,1.7023812699122305e-07
experiment_001,7,8,9,0.74,0.44,308,15,3133,2377,756,1,-0.0007436050651591364,-0.0007439996520500301,-0.08080305838822047,0.0,0.0003191828917969997,2.3734601505238953e-07
experiment_001,7,8,10,0.61,0.29,263,16,2703,2047,656,0,-0.0005151459741219444,-0.0005151459741218592,-0.0546185612645565,0.0,0.0,1.9058304629002754e-07
experiment_001,7,8,11,0.5,0.42,173,16,1648,1240,408,1,-0.00023202795815557842,-0.00023202795815569172,-0.03761979326759414,0.0,0.0006067961165048543,1.4079366392935585e-07
experiment_001,7,8,12,0.68,0.38,252,17,2397,1810,587,1,-0.0005096430118146644,-0.0005096430118146225,-0.061053618341215476,0.0,0.00041718815185648727,2.1261702620553375e-07
experiment_001,7,8,13,0.76,0.25,243,18,2412,1829,583,4,-0.0005671741439435829,-0.0005671741439436149,-0.06525881439186682,0.0,0.001658374792703151,2.351468258472566e-07
experiment_001,7,8,14,0.45,0.19,337,22,3313,2494,819,2,-0.00040196614139087483,-0.0004026275874726,-0.04372053766787429,0.0,0.0006036824630244491,1.2132995514363864e-07
experiment_001,8,9,0,0.69,0.47,275,24,2558,1925,633,0,-0.0005415752775095317,-0.000542175562639139,-0.052432045339632284,0.0,0.0,2.1171824765814374e-07
experiment_001,8,9,1,0.6,0.36,289,24,2903,2194,709,4,-0.0005111709040825918,-0.0005118773512489939,-0.05471994116667754,0.0,0.0013778849466069584,1.7608367346971816e-07
experiment_001,8,9,2,0.87,0.34,111,28,1121,850,271,2,-0.000316736020282371,-0.00031677671639889626,-0.07203480582342009,0.0,0.001784121320249777,2.8254774333842197e-07
experiment_001,8,9,3,0.48,0.32,105,30,1148,875,273,0,-0.00015530582101330737,-0.00015560713115357616,-0.03474772556297667,0.0,0.0,1.3528381621368238e-07
experiment_001,8,9,4,0.57,0.28,299,30,3045,2306,739,2,-0.000553603601131547,-0.0005541029593402681,-0.059690213181751495,0.0,0.0006568144499178982,1.818074223748923e-07
experiment_001,8,9,5,0.78,0.4,198,32,1885,1416,469,1,-0.0004524995272280341,-0.0004536578262720091,-0.07184253219166417,0.0,0.0005305039787798408,2.40052799590469e-07
experiment_001,8,9,6,0.71,0.5,267,33,2727,2080,647,4,-0.000627576439022226,-0.0006281419600163364,-0.06983287109671685,0.0,0.0014668133480014668,2.3013437441225744e-07
experiment_001,8,9,7,0.66,0.22,320,37,3173,2396,777,5,-0.0006665665499149265,-0.0006668436955298588,-0.07744759766975777,0.0,0.001575795776867318,2.1007455087139188e-07
experiment_001,8,9,8,0.59,0.35,190,42,1979,1501,478,0,-0.00036290685008044665,-0.00036290685008044194,-0.0511875557911978,0.0,0.0,1.8337890352725954e-07
experiment_001,8,9,9,0.74,0.44,308,42,3002,2267,735,2,-0.0007086848010005031,-0.0007090934836400864,-0.070668593744304,0.0,0.0006662225183211193,2.3607088640922823e-07
experiment_001,8,9,10,0.61,0.29,263,44,2548,1921,627,2,-0.000465304683041845,-0.00046615004919514375,-0.05198016446517412,0.0,0.0007849293563579278,1.826156526851825e-07
experiment_001,8,9,11,0.5,0.42,173,46,1801,1364,437,2,-0.00027047658416556875,-0.0002706461255796409,-0.04087716904553322,0.0,0.001110494169905608,1.501813349059238e-07
experiment_001,8,9,12,0.68,0.38,252,48,2398,1807,591,5,-0.0004823055111397023,-0.00048251351480785374,-0.06673930850742613,0.0,0.002085070892410342,2.0112823650529704e-07
experiment_001,8,9,13,0.76,0.25,243,53,2354,1777,577,2,-0.0005849550152018379,-0.000584960379055351,-0.07026819268007958,0.0,0.0008496176720475786,2.4849405913417074e-07
experiment_001,8,9,14,0.45,0.19,337,55,3241,2438,803,3,-0.0004019336600081802,-0.0004023893445676011,-0.05161623215741853,0.0,0.0009256402344955261,1.2401532243387232e-07
experiment_001,9,10,0,0.69,0.47,275,58,2683,2017,666,3,-0.0005933670874064267,-0.0005943768692236105,-0.06735376398159917,0.0,0.0011181513231457323,2.2115806463154183e-07
experiment_001,9,10,1,0.6,0.36,289,61,2796,2103,693,4,-0.0005250821997437871,-0.0005255488654366525,-0.045666610391305845,0.0,0.001430615164520744,1.8779763939334303e-07
experiment_001,9,10,2,0.87,0.34,111,65,1064,801,263,6,-0.0003016769627569582,-0.00030185156323945254,-0.07873002411666502,0.0,0.005639097744360902,2.835309800347352e-07
experiment_001,9,10,3,0.48,0.32,105,71,1049,794,255,2,-0.0001602499251891487,-0.00016075633051747438,-0.040400880725681564,0.0,0.0019065776930409914,1.527644663385593e-07
experiment_001,9,10,4,0.57,0.28,299,73,2782,2086,696,2,-0.0004796236375341767,-0.00047982943661080185,-0.05991067209545105,0.0,0.0007189072609633358,1.7240245777648336e-07
experiment_001,9,10,5,0.78,0.4,198,75,2009,1526,483,3,-0.0005097755273266724,-0.0005106997972216821,-0.07162070097851106,0.0,0.0014932802389248383,2.5374590708146957e-07
experiment_001,9,10,6,0.71,0.5,267,78,2596,1954,642,2,-0.00057435335246947,-0.0005753012082146399,-0.06402576719783033,0.0,0.0007704160246533128,2.21245513277916e-07
experiment_001,9,10,7,0.66,0.22,320,80,2989,2250,739,2,-0.0006130508776946986,-0.0006142922794619893,-0.07203508970185112,0.0,0.0006691201070592171,2.0510233445791186e-07
experiment_001,9,10,8,0.59,0.35,190,82,1720,1291,429,5,-0.00030158386580558805,-0.0003016284013374821,-0.04706908224543527,0.0,0.0029069767441860465,1.7533945686371398e-07
experiment_001,9,10,9,0.74,0.44,308,87,3153,2390,763,5,-0.0007942544472951951,-0.0007963750029333828,-0.09360850581553934,0.0,0.001585791309863622,2.519043600682509e-07
experiment_001,9,10,10,0.61,0.29,263,92,2577,1947,630,2,-0.0004920373809612633,-0.0004925099879362489,-0.07351972945065516,0.0,0.0007760962359332557,1.909341796512469e-07
experiment_001,9,10,11,0.5,0.42,173,94,1781,1348,433,3,-0.0002740090414855567,-0.00027490703179062885,-0.03953636205797961,0.0,0.0016844469399213925,1.5385123048037997e-07
experiment_001,9,10,12,0.68,0.38,252,97,2505,1888,617,4,-0.0005422113972215481,-0.000542436886509937,-0.05863856138927721,0.0,0.0015968063872255488,2.1645165557746432e-07
experiment_001,9,10,13,0.76,0.25,243,101,2427,1833,594,3,-0.0006386177874908583,-0.0006409673774444536,-0.08510100723735728,0.0,0.0012360939431396785,2.6313052636623746e-07
experiment_001,9,10,14,0.45,0.19,337,104,3219,2427,792,3,-0.00043532498470666425,-0.000435929001245401,-0.0486348532280016,0.0,0.0009319664492078285,1.3523609341617405e-07
experiment_001,10,11,0,0.69,0.47,275,107,2699,2037,662,4,-0.0006288146059433286,-0.0006294127921457435,-0.07589732633625751,0.0,0.0014820303816228233,2.3298058760404913e-07
experiment_001,10,11,1,0.6,0.36,289,111,2887,2189,698,3,-0.0005672447596795083,-0.000568243796186144,-0.05704277526486472,0.0,0.0010391409767925182,1.9648242455126715e-07
experiment_001,10,11,2,0.87,0.34,114,114,1121,846,275,1,-0.00035179950790509285,-0.0003519069069169579,-0.0696842243734683,0.0,0.0008920606601248885,3.1382650125342803e-07
experiment_001,10,11,3,0.48,0.32,115,115,1133,855,278,4,-0.00016766430013814837,-0.00016766430013807803,-0.04233314582949932,0.0,0.00353045013239188,1.4798261265502946e-07
experiment_001,10,11,4,0.57,0.28,299,119,3025,2287,738,7,-0.0005479567312783873,-0.0005498038363824404,-0.06843886408056085,0.0,0.0023140495867768596,1.811427210837644e-07
experiment_001,10,11,5,0.78,0.4,198,126,2029,1535,494,6,-0.0005472747457666571,-0.0005494212712510608,-0.06921111187622128,0.0,0.002957121734844751,2.697263409397029e-07
experiment_001,10,11,6,0.71,0.5,267,132,2711,2052,659,6,-0.0006415600920171016,-0.0006432445972353775,-0.06918396763951049,0.0,0.0022132054592401327,2.3665071634714186e-07
